"","items"
"1","{citrus fruit,semi-finished bread,margarine,ready soups}"
"2","{tropical fruit,yogurt,coffee}"
"3","{whole milk}"
"4","{pip fruit,yogurt,cream cheese ,meat spreads}"
"5","{other vegetables,whole milk,condensed milk,long life bakery product}"
"6","{whole milk,butter,yogurt,rice,abrasive cleaner}"
"7","{rolls/buns}"
"8","{other vegetables,UHT-milk,rolls/buns,bottled beer,liquor (appetizer)}"
"9","{pot plants}"
"10","{whole milk,cereals}"
"11","{tropical fruit,other vegetables,white bread,bottled water,chocolate}"
"12","{citrus fruit,tropical fruit,whole milk,butter,curd,yogurt,flour,bottled water,dishes}"
"13","{beef}"
"14","{frankfurter,rolls/buns,soda}"
"15","{chicken,tropical fruit}"
"16","{butter,sugar,fruit/vegetable juice,newspapers}"
"17","{fruit/vegetable juice}"
"18","{packaged fruit/vegetables}"
"19","{chocolate}"
"20","{specialty bar}"
"21","{other vegetables}"
"22","{butter milk,pastry}"
"23","{whole milk}"
"24","{tropical fruit,cream cheese ,processed cheese,detergent,newspapers}"
"25","{tropical fruit,root vegetables,other vegetables,frozen dessert,rolls/buns,flour,sweet spreads,salty snack,waffles,candy,bathroom cleaner}"
"26","{bottled water,canned beer}"
"27","{yogurt}"
"28","{sausage,rolls/buns,soda,chocolate}"
"29","{other vegetables}"
"30","{brown bread,soda,fruit/vegetable juice,canned beer,newspapers,shopping bags}"
"31","{yogurt,beverages,bottled water,specialty bar}"
"32","{hamburger meat,other vegetables,rolls/buns,spices,bottled water,hygiene articles,napkins}"
"33","{root vegetables,other vegetables,whole milk,beverages,sugar}"
"34","{pork,berries,other vegetables,whole milk,whipped/sour cream,artif. sweetener,soda,abrasive cleaner}"
"35","{beef,grapes,detergent}"
"36","{pastry,soda}"
"37","{fruit/vegetable juice}"
"38","{canned beer}"
"39","{root vegetables,other vegetables,whole milk,dessert}"
"40","{citrus fruit,zwieback,newspapers}"
"41","{sausage,rolls/buns,soda,canned beer,specialty bar,shopping bags}"
"42","{tropical fruit,root vegetables,whole milk,yogurt,domestic eggs,brown bread,pastry,sugar,cereals,coffee,soda,waffles,candy}"
"43","{berries,yogurt}"
"44","{canned beer}"
"45","{butter milk,yogurt,cream cheese ,spread cheese,rolls/buns,bottled water,soda,newspapers}"
"46","{coffee}"
"47","{pastry,bottled water}"
"48","{rolls/buns}"
"49","{misc. beverages}"
"50","{root vegetables,other vegetables,butter,curd,whipped/sour cream,UHT-milk,hard cheese,rolls/buns,bottled water,long life bakery product}"
"51","{sausage,rolls/buns,cat food,newspapers}"
"52","{canned beer}"
"53","{ham,grapes,other vegetables,whole milk}"
"54","{turkey,tropical fruit,other vegetables,curd,domestic eggs,brown bread,semi-finished bread,margarine,baking powder,fruit/vegetable juice}"
"55","{whole milk,yogurt,processed cheese,pickled vegetables,soda}"
"56","{whole milk,curd,yogurt,pastry}"
"57","{packaged fruit/vegetables,brown bread,canned beer}"
"58","{rolls/buns,oil,bottled water,chewing gum,chocolate marshmallow,hygiene articles,napkins}"
"59","{ham,beef,whipped/sour cream,ice cream,rolls/buns,cat food}"
"60","{rolls/buns,pastry,sugar}"
"61","{other vegetables,whole milk,frozen vegetables,canned fish,salty snack,seasonal products,detergent}"
"62","{sausage,pastry}"
"63","{sausage,beef,whole milk}"
"64","{frankfurter,tropical fruit,rolls/buns,brown bread,sugar}"
"65","{rolls/buns,pastry,soda}"
"66","{whole milk}"
"67","{curd cheese,coffee}"
"68","{red/blush wine,newspapers}"
"69","{sausage,whole milk,curd}"
"70","{tropical fruit,pip fruit,berries,whole milk,frozen potato products,rolls/buns,pickled vegetables,chocolate}"
"71","{red/blush wine}"
"72","{whole milk,butter,margarine,specialty fat,specialty chocolate,candles,flower (seeds)}"
"73","{frankfurter,citrus fruit,whole milk,domestic eggs,oil,sparkling wine,specialty chocolate,newspapers}"
"74","{whole milk,meat spreads,soda}"
"75","{frozen potato products}"
"76","{other vegetables,whole milk,rolls/buns,sugar}"
"77","{citrus fruit,whole milk,curd,butter milk,pastry}"
"78","{flour,salt,bottled water,fruit/vegetable juice,bottled beer}"
"79","{sugar,bottled water,soda,bottled beer}"
"80","{frozen meals,coffee}"
"81","{chocolate}"
"82","{root vegetables,whole milk,frozen vegetables,domestic eggs,rolls/buns,oil,margarine,canned vegetables,fruit/vegetable juice,bathroom cleaner}"
"83","{root vegetables,onions,hard cheese,frozen vegetables}"
"84","{herbs,condensed milk,frozen vegetables,salt,oil,white wine,candles}"
"85","{bottled water}"
"86","{sausage,root vegetables,onions,yogurt,rolls/buns,brandy,detergent}"
"87","{coffee,newspapers}"
"88","{pork,other vegetables,whipped/sour cream}"
"89","{berries,yogurt}"
"90","{soda}"
"91","{berries}"
"92","{fruit/vegetable juice,salty snack,candles}"
"93","{citrus fruit,butter milk,yogurt,cream cheese }"
"94","{pork,hamburger meat,citrus fruit,berries,onions,whipped/sour cream,rice,coffee,chocolate}"
"95","{detergent}"
"96","{grapes,photo/film}"
"97","{sausage,sliced cheese,rolls/buns,brown bread,fruit/vegetable juice,canned beer,red/blush wine,waffles,shopping bags}"
"98","{chicken,hamburger meat,citrus fruit,tropical fruit,root vegetables,other vegetables,butter,pasta,oil,detergent}"
"99","{whole milk,yogurt,brown bread}"
"100","{citrus fruit,tropical fruit}"
